name;ts;value
mineralwasser;1566493680.0;1.0
mineralwasser;1566504480.0;1.0
mineralwasser;1566515280.0;1.0
mineralwasser;1566526080.0;1.0
mineralwasser;1566536880.0;1.0
mineralwasser;1566547680.0;1.0
mineralwasser;1566558480.0;1.0
mineralwasser;1566569280.0;1.0
mineralwasser;1566580080.0;1.0
mineralwasser;1566590880.0;1.0
mineralwasser;1566601680.0;1.0
mineralwasser;1566612480.0;1.0
mineralwasser;1566623280.0;1.0
mineralwasser;1566634080.0;1.0
mineralwasser;1566644880.0;1.0
mineralwasser;1566655680.0;1.0
mineralwasser;1566666480.0;1.0
mineralwasser;1566677280.0;1.0
mineralwasser;1566688080.0;1.0
mineralwasser;1566698880.0;1.0
mineralwasser;1566709680.0;1.0
mineralwasser;1566720480.0;1.0
mineralwasser;1566731280.0;1.0
mineralwasser;1566742080.0;1.0
mineralwasser;1566752880.0;1.0
mineralwasser;1566763680.0;1.0
mineralwasser;1566774480.0;1.0
mineralwasser;1566785280.0;1.0
mineralwasser;1566796080.0;1.0
mineralwasser;1566806880.0;1.0
mineralwasser;1566817680.0;1.0
mineralwasser;1566828480.0;1.0
mineralwasser;1566839280.0;0.0
mineralwasser;1566850080.0;0.0
mineralwasser;1566860880.0;0.0
mineralwasser;1566871680.0;0.0
mineralwasser;1566882480.0;0.0
mineralwasser;1566893280.0;0.0
mineralwasser;1566904080.0;0.0
mineralwasser;1566914880.0;0.0
mineralwasser;1566925680.0;0.0
mineralwasser;1566936480.0;0.0
mineralwasser;1566947280.0;0.0
mineralwasser;1566958080.0;0.0
mineralwasser;1566968880.0;0.0
mineralwasser;1566979680.0;0.0
mineralwasser;1566990480.0;0.0
mineralwasser;1567001280.0;0.0
mineralwasser;1567012080.0;0.0
mineralwasser;1567022880.0;-1.0
mineralwasser;1567033680.0;-1.0
mineralwasser;1567044480.0;-1.0
mineralwasser;1567055280.0;-1.0
mineralwasser;1567066080.0;-1.0
mineralwasser;1567076880.0;-1.0
mineralwasser;1567087680.0;-1.0
mineralwasser;1567098480.0;-1.0
mineralwasser;1567109280.0;-1.0
mineralwasser;1567120080.0;-1.0
mineralwasser;1567130880.0;-1.0
mineralwasser;1567141680.0;-1.0
mineralwasser;1567152480.0;-1.0
mineralwasser;1567163280.0;-1.0
mineralwasser;1567174080.0;-1.0
mineralwasser;1567184880.0;-1.0
mineralwasser;1567195680.0;-1.0
mineralwasser;1567206480.0;-1.0
mineralwasser;1567217280.0;-1.0
mineralwasser;1567228080.0;-1.0
mineralwasser;1567238880.0;-1.0
mineralwasser;1567249680.0;-1.0
mineralwasser;1567260480.0;-1.0
mineralwasser;1567271280.0;-1.0
mineralwasser;1567282080.0;-1.0
mineralwasser;1567292880.0;-1.0
mineralwasser;1567303680.0;-1.0
mineralwasser;1567314480.0;-1.0
mineralwasser;1567325280.0;-1.0
mineralwasser;1567336080.0;0.0
mineralwasser;1567346880.0;0.0
mineralwasser;1567357680.0;0.0
mineralwasser;1567368480.0;0.0
mineralwasser;1567379280.0;0.0
mineralwasser;1567390080.0;0.0
mineralwasser;1567400880.0;0.0
mineralwasser;1567411680.0;0.0
mineralwasser;1567422480.0;0.0
mineralwasser;1567433280.0;0.0
mineralwasser;1567444080.0;0.0
mineralwasser;1567454880.0;0.0
mineralwasser;1567465680.0;0.0
mineralwasser;1567476480.0;0.0
mineralwasser;1567487280.0;0.0
mineralwasser;1567498080.0;0.0
mineralwasser;1567508880.0;0.0
mineralwasser;1567519680.0;0.0
mineralwasser;1567530480.0;0.0
mineralwasser;1567541280.0;0.0
mineralwasser;1567552080.0;0.0
mineralwasser;1567562880.0;0.0
mineralwasser;1567573680.0;0.0
mineralwasser;1567584480.0;0.0
mineralwasser;1567595280.0;0.0
mineralwasser;1567606080.0;0.0
mineralwasser;1567616880.0;0.0
mineralwasser;1567627680.0;0.0
mineralwasser;1567638480.0;0.0
mineralwasser;1567649280.0;0.0
mineralwasser;1567660080.0;0.0
mineralwasser;1567670880.0;0.0
mineralwasser;1567681680.0;0.0
mineralwasser;1567692480.0;0.0
mineralwasser;1567703280.0;0.0
mineralwasser;1567714080.0;0.0
mineralwasser;1567724880.0;0.0
mineralwasser;1567735680.0;0.0
mineralwasser;1567746480.0;0.0
mineralwasser;1567757280.0;0.0
mineralwasser;1567768080.0;0.0
mineralwasser;1567778880.0;0.0
mineralwasser;1567789680.0;0.0
mineralwasser;1567800480.0;0.0
mineralwasser;1567811280.0;0.0
mineralwasser;1567822080.0;0.0
mineralwasser;1567832880.0;0.0
mineralwasser;1567843680.0;0.0
mineralwasser;1567854480.0;0.0
mineralwasser;1567865280.0;0.0
grapefruit_sprudel;1562098080.0;3.0
grapefruit_sprudel;1562108880.0;3.0
grapefruit_sprudel;1562119680.0;3.0
grapefruit_sprudel;1562130480.0;3.0
grapefruit_sprudel;1562141280.0;3.0
grapefruit_sprudel;1562152080.0;3.0
grapefruit_sprudel;1562162880.0;3.0
grapefruit_sprudel;1562173680.0;3.0
grapefruit_sprudel;1562184480.0;3.0
grapefruit_sprudel;1562195280.0;3.0
grapefruit_sprudel;1562206080.0;3.0
grapefruit_sprudel;1562216880.0;3.0
grapefruit_sprudel;1562227680.0;3.0
grapefruit_sprudel;1562238480.0;3.0
grapefruit_sprudel;1562249280.0;3.0
